Name,type,RAM,CPU,GPU,ScreenSize,Resoloution,Storage,OS,price
ASUS,Notebook,8GB,Intel Core i5 1335U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Windows, 30499.00
ASUS,Notebook,8GB,Intel Core i5 1335U,Intel UHD,16 Inch,1920x1080,512GB SSD,Windows, 31699.00
Lenovo,Notebook,16GB,Intel Core i5 1342,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Dos, 32899.00
Lenovo,Notebook,8GB,Intel Core i5 1342,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Windows, 33499.00
ASUS,Notebook,8GB,AMD Ryzen 7 7730U,AMD Radeon,15.6 Inch,1920x1080,512GB SSD,Windows, 34099.00
MSI,Notebook,8GB,Intel Core i7 1255U,Intel Iris Xe,14 Inch,1920x1080,512GB SSD,Dos, 34099.00
DELL,Notebook,8GB,Intel Core i7 1255U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Dos, 34799.00
DELL,Notebook,8GB,Intel Core i7 1255U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Dos, 34799.00
Lenovo,Gaming,8GB,AMD Ryzen 5 5500H,NVIDIA  RTX 2050,15.6 Inch,1920x1080,512GB SSD,Dos, 35399.00
ASUS,Notebook,8GB,AMD Ryzen 5 5600H,AMD Radeon,15.6 Inch,1920x1080,512GB SSD,Windows, 35399.00
DELL,Notebook,8GB,Intel Core i7 1255U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Windows, 35999.00
Acer,Notebook,8GB,Intel Core i5 1245,NVIDIA  RTX 2050,15.6 Inch,1920x1080,512GB SSD,Dos, 36099.00
MSI,Notebook,8GB,Intel Core i7 1362,Intel Iris Xe,15.6 Inch,1920x1080,512GB SSD,Dos, 36299.00
Lenovo,Notebook,8GB,Intel Core i7 1255U,Intel Iris Xe,15.6 Inch,1920x1080,512GB SSD,Windows, 36599.00
ASUS,Notebook,8GB,Intel Core i7 1355U,Intel Iris Xe,15.6 Inch,1920x1080,512GB SSD,Windows, 36599.00
ASUS,Notebook,8GB,AMD Ryzen 5 7520U,AMD Radeon,15.6 Inch,1920x1080,512GB SSD,Windows, 36599.00
Lenovo,Notebook,8GB,Intel Core i7 1255U,Intel Iris Xe,15.6 Inch,1920x1080,512GB SSD,Windows, 37199.00
MSI,Notebook,8GB,Intel Core i5 1245,NVIDIA  RTX2050,15.6 Inch,1920x1080,512GB SSD,Dos, 37799.00
HP,Notebook,8GB,Intel Core i5 1235U,NVIDIA  MX570,15.6 Inch,1920x1080,512GB SSD,Dos, 35999.00
HP,Notebook,8GB,Intel Core i7 1255U,Intel Iris Xe,15.6 Inch,1920x1080,512GB SSD,Windows, 38999.00
DELL,Notebook,8GB,Intel Core i5 1135G,Intel Iris,14 Inch,1920x1080,256GB SSD,Dos, 38499.00
